Estado do Cliente,Categoria do Produto,Valor Total,Status Real,Status Previsto,Acerto do Modelo
SP,computers_accessories,91.68,1,1,True
MG,perfumery,281.4,1,1,True
MT,furniture_decor,63.82,1,1,True
RS,bed_bath_table,63.1,1,1,True
BA,baby,116.89999999999999,1,1,True
SE,garden_tools,100.63999999999999,1,1,True
RS,bed_bath_table,57.16,1,1,True
BA,kitchen_dining_laundry_garden_furniture,128.2,1,1,True
SP,drinks,57.43,1,1,True
MT,construction_tools_lights,306.49,1,1,True
RJ,health_beauty,74.87,0,1,False
SP,telephony,19.86,1,1,True
SP,home_appliances,46.019999999999996,1,1,True
PB,housewares,36.45,1,1,True
SP,toys,104.78999999999999,1,1,True
SP,bed_bath_table,81.78,1,1,True
SC,furniture_decor,114.73,1,1,True
RJ,auto,38.14,1,1,True
MG,furniture_decor,117.97,1,1,True
SP,home_confort,101.14,1,1,True
AL,health_beauty,94.11000000000001,1,1,True
BA,telephony,65.78,1,1,True
MG,sports_leisure,103.47,1,1,True
SP,cool_stuff,19.259999999999998,1,1,True
SP,bed_bath_table,102.03,1,1,True
SP,furniture_decor,88.08,1,1,True
MG,computers_accessories,85.58,1,1,True
TO,housewares,86.78999999999999,1,1,True
MG,bed_bath_table,67.52000000000001,1,1,True
SP,computers_accessories,90.17,1,1,True
RJ,furniture_decor,76.50999999999999,1,1,True
MG,sports_leisure,154.22,1,1,True
PR,baby,62.84,1,1,True
MG,pet_shop,113.31,1,1,True
MG,toys,50.22,1,1,True
RJ,office_furniture,104.13999999999999,1,1,True
RN,auto,76.61,1,1,True
SP,baby,91.96000000000001,1,1,True
GO,auto,113.14,1,1,True
SP,health_beauty,115.71000000000001,1,1,True
SP,garden_tools,68.37,1,1,True
SP,furniture_decor,169.1,1,1,True
SP,computers_accessories,20.75,1,1,True
SP,housewares,28.189999999999998,1,1,True
MG,computers_accessories,144.99,1,1,True
MG,health_beauty,137.99,1,1,True
SP,consoles_games,62.65,1,1,True
